+---------+-----------+-----------+----------+--------------+
|artist_id|first_name |last_name  |birthday  |festival_count|
+---------+-----------+-----------+----------+--------------+
|106      |Adriana    |Burke      |1989-12-08|8             |
|205      |Dwayne     |Walker     |1952-05-05|7             |
|220      |Gloria     |Bowman     |2002-05-05|7             |
|266      |Jacob      |Juarez     |1954-04-11|7             |
|7        |Bianca     |Richmond   |1978-10-20|6             |
|15       |Tiffany    |Franklin   |1948-10-28|6             |
|23       |Jeffrey    |Butler     |1948-02-18|6             |
|41       |Veronica   |Hodge      |1950-06-05|6             |
|156      |David      |Edwards    |1967-03-07|6             |
|186      |Maria      |Higgins    |1948-09-22|6             |
|297      |Rachel     |Robinson   |1985-03-31|6             |
|40       |Scott      |Baker      |1954-11-09|5             |
|54       |Jeffrey    |Fletcher   |1941-11-16|5             |
|57       |Alejandro  |Turner     |1934-02-01|5             |
|160      |Madison    |Allen      |1994-02-16|5             |
|161      |Lindsey    |Johnson    |1989-12-28|5             |
|162      |Daniel     |Mccoy      |1973-08-26|5             |
|168      |Jeff       |Cox        |1954-03-15|5             |
|195      |Louis      |Nelson     |1966-02-16|5             |
|200      |Seth       |Tran       |1949-11-25|5             |
|283      |Joseph     |Lane       |1990-02-05|5             |
|12       |Steven     |Ford       |1985-12-01|4             |
|14       |Andrea     |Cross      |1948-02-28|4             |
|19       |Laura      |Hall       |1979-07-08|4             |
|21       |Christopher|Melton     |1932-12-20|4             |
|44       |Lucas      |Carroll    |1975-06-28|4             |
|48       |John       |Walsh      |1967-05-22|4             |
|74       |Ronald     |Barrett    |1968-06-11|4             |
|90       |Jeffrey    |Nelson     |1985-11-03|4             |
|95       |Michael    |Joyce      |1986-03-19|4             |
|114      |Belinda    |Lynch      |1962-10-22|4             |
|121      |Matthew    |Wright     |1960-01-21|4             |
|155      |Melissa    |Ramos      |1988-12-07|4             |
|173      |Michael    |Alexander  |1993-06-03|4             |
|181      |Nicole     |Watson     |2003-11-30|4             |
|187      |Aaron      |Villarreal |1982-05-08|4             |
|194      |Lindsey    |Perez      |1997-11-29|4             |
|209      |Morgan     |Mejia      |1982-04-04|4             |
|221      |Micheal    |Davies     |2001-10-09|4             |
|236      |Megan      |Harrison   |1969-11-25|4             |
|252      |Theresa    |Taylor     |1966-05-12|4             |
|256      |Dorothy    |Scott      |1931-05-02|4             |
|259      |James      |Marsh      |1935-01-11|4             |
|268      |Jason      |Moore      |1945-11-08|4             |
|278      |Nicole     |Butler     |1938-11-01|4             |
|291      |Monique    |Klein      |1963-07-21|4             |
|298      |Larry      |Holden     |1934-01-23|4             |
|10       |Christopher|Long       |1926-04-01|3             |
|11       |Brittney   |Watkins    |1931-09-07|3             |
|24       |Jonathan   |Floyd      |2000-11-15|3             |
|35       |Jacob      |Ford       |1966-05-07|3             |
|36       |Nicholas   |Reed       |1929-01-04|3             |
|37       |Danielle   |Townsend   |1951-03-29|3             |
|50       |Steven     |Torres     |2003-04-08|3             |
|51       |Antonio    |Russell    |1952-06-22|3             |
|58       |Michelle   |Rice       |1971-04-14|3             |
|60       |James      |Ellis      |1940-01-13|3             |
|64       |James      |Ortiz      |1942-02-01|3             |
|66       |Amber      |Ellis      |1947-08-09|3             |
|67       |Dawn       |Vazquez    |2010-01-22|3             |
|71       |Curtis     |Thompson   |1960-01-03|3             |
|72       |Lisa       |Garza      |1951-12-12|3             |
|77       |Wyatt      |Lucas      |1955-09-21|3             |
|87       |Jeanette   |Duran      |1992-06-18|3             |
|88       |Kayla      |Howell     |1941-04-05|3             |
|91       |Audrey     |Sanders    |2006-05-20|3             |
|99       |Leslie     |Coleman    |1942-05-13|3             |
|101      |Mason      |Bailey     |2006-06-21|3             |
|104      |Kyle       |Ruiz       |1965-11-11|3             |
|107      |Gabrielle  |Edwards    |1969-10-31|3             |
|120      |Craig      |Roberts    |1931-03-01|3             |
|126      |Amy        |Ramos      |1954-07-21|3             |
|143      |Stephanie  |Jefferson  |1946-02-02|3             |
