+--------+-----------+-----------+
|staff_id|first_name |last_name  |
+--------+-----------+-----------+
|1838    |Maria      |Abbott     |
|743     |Miguel     |Acevedo    |
|462     |Monica     |Acevedo    |
|756     |Aaron      |Acosta     |
|1877    |Roberto    |Acosta     |
|3       |Deborah    |Adams      |
|25      |Alyssa     |Adams      |
|365     |Emily      |Adams      |
|1686    |Stephanie  |Adams      |
|1868    |Amy        |Adams      |
|1270    |Maureen    |Adams      |
|1160    |Leah       |Adams      |
|720     |Amanda     |Adams      |
|1625    |Rebecca    |Adkins     |
|1554    |Christopher|Adkins     |
|803     |Jennifer   |Adkins     |
|1688    |Robert     |Allen      |
|1503    |Lauren     |Allen      |
|859     |Sarah      |Allen      |
|982     |James      |Allen      |
|1974    |Roger      |Alvarado   |
|975     |Jill       |Alvarez    |
|438     |Robin      |Alvarez    |
|1494    |Julia      |Anderson   |
|624     |Phillip    |Anderson   |
|457     |Daniel     |Anderson   |
|872     |Shelly     |Anderson   |
|565     |David      |Anderson   |
|1914    |Lori       |Anderson   |
|1940    |Cynthia    |Anderson   |
|727     |Hayley     |Anderson   |
|201     |Brianna    |Anderson   |
|18      |Ashley     |Anderson   |
|1663    |Pamela     |Andrews    |
|1599    |Emily      |Andrews    |
|1312    |Joshua     |Andrews    |
|1499    |Elizabeth  |Armstrong  |
|1754    |Jasmine    |Armstrong  |
|1033    |Kim        |Armstrong  |
|1344    |Denise     |Arnold     |
|1844    |Stephanie  |Arnold     |
|1077    |Maria      |Arroyo     |
|1813    |Joshua     |Atkins     |
|494     |Martha     |Ayala      |
|1133    |Douglas    |Bailey     |
|1941    |Michael    |Bailey     |
|211     |Jessica    |Baker      |
|11      |Ronald     |Baker      |
|551     |Ryan       |Baker      |
|281     |Laura      |Ball       |
|146     |Penny      |Ball       |
|341     |Monica     |Ballard    |
|1574    |Daniel     |Banks      |
|428     |Nathan     |Banks      |
|587     |Samantha   |Barker     |
|898     |Shane      |Barker     |
|374     |Christopher|Barnes     |
|1398    |Teresa     |Barrera    |
|1902    |Anna       |Barry      |
|1192    |Victoria   |Barry      |
|1980    |Harold     |Bartlett   |
|1745    |Jason      |Bass       |
|1087    |Bailey     |Bautista   |
|1746    |Mckenzie   |Baxter     |
|1485    |Benjamin   |Baxter     |
|223     |Brittany   |Beck       |
|957     |Katelyn    |Beck       |
|1011    |Sarah      |Beck       |
|1701    |James      |Becker     |
|1966    |Linda      |Bell       |
|1139    |Laura      |Bell       |
|852     |Nicole     |Bell       |
|232     |Mark       |Bell       |
|1361    |Joyce      |Beltran    |
|682     |Lindsay    |Bender     |
