+---------+-----------+-----------+--------------------+
|artist_id|first_name |last_name  |total_participations|
+---------+-----------+-----------+--------------------+
|15       |Tiffany    |Franklin   |19                  |
|297      |Rachel     |Robinson   |19                  |
|168      |Jeff       |Cox        |18                  |
|95       |Michael    |Joyce      |17                  |
|160      |Madison    |Allen      |17                  |
|186      |Maria      |Higgins    |16                  |
|236      |Megan      |Harrison   |16                  |
|277      |Karen      |Nguyen     |16                  |
|7        |Bianca     |Richmond   |15                  |
|40       |Scott      |Baker      |15                  |
|44       |Lucas      |Carroll    |15                  |
|104      |Kyle       |Ruiz       |15                  |
|209      |Morgan     |Mejia      |15                  |
|283      |Joseph     |Lane       |15                  |
|72       |Lisa       |Garza      |14                  |
|106      |Adriana    |Burke      |14                  |
|173      |Michael    |Alexander  |14                  |
|205      |Dwayne     |Walker     |14                  |
|220      |Gloria     |Bowman     |14                  |
|244      |Michael    |Guzman     |14                  |
|256      |Dorothy    |Scott      |14                  |
|23       |Jeffrey    |Butler     |13                  |
|116      |Ralph      |Reese      |13                  |
|120      |Craig      |Roberts    |13                  |
|143      |Stephanie  |Jefferson  |13                  |
|194      |Lindsey    |Perez      |13                  |
|221      |Micheal    |Davies     |13                  |
|254      |Brenda     |Vargas     |13                  |
|195      |Louis      |Nelson     |13                  |
|12       |Steven     |Ford       |12                  |
|28       |Ryan       |Bullock    |12                  |
|41       |Veronica   |Hodge      |12                  |
|68       |Eddie      |Wagner     |12                  |
|74       |Ronald     |Barrett    |12                  |
|87       |Jeanette   |Duran      |12                  |
|97       |Thomas     |Perry      |12                  |
|187      |Aaron      |Villarreal |12                  |
|191      |Evan       |Riley      |12                  |
|206      |Cory       |Bailey     |12                  |
|10       |Christopher|Long       |11                  |
|21       |Christopher|Melton     |11                  |
|60       |James      |Ellis      |11                  |
|66       |Amber      |Ellis      |11                  |
|69       |Kayla      |Jones      |11                  |
|89       |Emma       |Ewing      |11                  |
|110      |Barbara    |Schmidt    |11                  |
|126      |Amy        |Ramos      |11                  |
|155      |Melissa    |Ramos      |11                  |
|161      |Lindsey    |Johnson    |11                  |
|179      |Nicole     |Porter     |11                  |
|183      |Ricardo    |Lee        |11                  |
|197      |Nicole     |Todd       |11                  |
|200      |Seth       |Tran       |11                  |
|239      |Laura      |Parker     |11                  |
|246      |Nathan     |Hoover     |11                  |
|259      |James      |Marsh      |11                  |
|298      |Larry      |Holden     |11                  |
|11       |Brittney   |Watkins    |10                  |
|54       |Jeffrey    |Fletcher   |10                  |
|57       |Alejandro  |Turner     |10                  |
|58       |Michelle   |Rice       |10                  |
|108      |Timothy    |Carter     |10                  |
|114      |Belinda    |Lynch      |10                  |
|121      |Matthew    |Wright     |10                  |
|157      |Kristen    |Smith      |10                  |
|158      |Aaron      |Barnett    |10                  |
|162      |Daniel     |Mccoy      |10                  |
|167      |Felicia    |Jones      |10                  |
|174      |Louis      |Irwin      |10                  |
|249      |Nicholas   |Davis      |10                  |
|257      |Amy        |Price      |10                  |
|266      |Jacob      |Juarez     |10                  |
|271      |Robert     |Watson     |10                  |
